pressure_mpa,wavelength_nm,Nin,number_density_m3,sigma_rayleigh_m2,eta_macro_no_scatter_no_collection,Nret,zero_count_probability,model_scope,claim_level_max,scatter_probability_single_pass,eta_total_source_to_detector_mode,eta_conditional_after_scattering,eta_conditional_after_collection,eta_common_window_train_detector,not_implemented,spatial_mode_overlap_computed,spatial_mode_overlap_used,temporal_mode_overlap,single_mode_overlap_total,mode_overlap_source,regime
1.0,532.0,2678150013932.7217,2.824772342640048e+26,1.1724721254480119e-30,0.049,0.043462725690925436,0.9574682423930304,auditable_single_mode_coupling_screen,conditional_local_boundary,3.3119668324819365e-06,1.3840430180037433e-15,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,extreme-photon-starved
1.0,633.0,3186595787254.535,2.824772342640048e+26,5.849708373015027e-31,0.049,0.025801248744001297,0.9745287591769701,auditable_single_mode_coupling_screen,conditional_local_boundary,1.652409442460276e-06,7.957192777792346e-16,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,extreme-photon-starved
1.0,1064.0,5356300027865.443,2.824772342640048e+26,7.327950784050074e-32,0.049,0.0054328407113656794,0.9945818904782562,auditable_single_mode_coupling_screen,conditional_local_boundary,2.0699792703012103e-07,1.2425146934901145e-16,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,extreme-photon-starved
1.0,1550.0,7802880679691.2,2.824772342640048e+26,1.6271300397795282e-32,0.049,0.0017573439122431853,0.9982441993124452,auditable_single_mode_coupling_screen,conditional_local_boundary,4.596271934248012e-08,2.9407778699493476e-17,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
5.25,532.0,2678150013932.7217,1.483005479886025e+27,1.1724721254480119e-30,0.049,0.2281793098773585,0.7959815196898019,auditable_single_mode_coupling_screen,conditional_local_boundary,1.7387825870530168e-05,7.266225844519652e-15,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,photon-starved
5.25,633.0,3186595787254.535,1.483005479886025e+27,5.849708373015027e-31,0.049,0.13545655590600683,0.8733171025746366,auditable_single_mode_coupling_screen,conditional_local_boundary,8.67514957291645e-06,4.177526208340982e-15,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,photon-starved
5.25,1064.0,5356300027865.443,1.483005479886025e+27,7.327950784050074e-32,0.049,0.02852241373466981,0.9718805104301187,auditable_single_mode_coupling_screen,conditional_local_boundary,1.0867391169081355e-06,6.523202140823102e-16,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,extreme-photon-starved
5.25,1550.0,7802880679691.2,1.483005479886025e+27,1.6271300397795282e-32,0.049,0.009226055539276723,0.9908163739253374,auditable_single_mode_coupling_screen,conditional_local_boundary,2.4130427654802065e-07,1.5439083817234078e-16,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
9.5,532.0,2678150013932.7217,2.6835337255080456e+27,1.1724721254480119e-30,0.049,0.41289589406379157,0.6617311693849435,auditable_single_mode_coupling_screen,conditional_local_boundary,3.14636849085784e-05,1.314840867103556e-14,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,photon-starved
9.5,633.0,3186595787254.535,2.6835337255080456e+27,5.849708373015027e-31,0.049,0.2451118630680124,0.7826169874078169,auditable_single_mode_coupling_screen,conditional_local_boundary,1.5697889703372623e-05,7.559333138902729e-15,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,photon-starved
9.5,1064.0,5356300027865.443,2.6835337255080456e+27,7.327950784050074e-32,0.049,0.051611986757973946,0.949697290486266,auditable_single_mode_coupling_screen,conditional_local_boundary,1.96648030678615e-06,1.1803889588156088e-15,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,extreme-photon-starved
9.5,1550.0,7802880679691.2,2.6835337255080456e+27,1.6271300397795282e-32,0.049,0.016694767166310263,0.9834438181706695,auditable_single_mode_coupling_screen,conditional_local_boundary,4.366458337535612e-07,2.7937389764518806e-16,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
13.75,532.0,2678150013932.7217,3.884061971130066e+27,1.1724721254480119e-30,0.049,0.5976124782502248,0.5501235012418529,auditable_single_mode_coupling_screen,conditional_local_boundary,4.553954394662663e-05,1.903059149755147e-14,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,photon-starved
13.75,633.0,3186595787254.535,3.884061971130066e+27,5.849708373015027e-31,0.049,0.35476717023001797,0.7013367162667489,auditable_single_mode_coupling_screen,conditional_local_boundary,2.2720629833828795e-05,1.0941140069464476e-14,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,photon-starved
13.75,1064.0,5356300027865.443,3.884061971130066e+27,7.327950784050074e-32,0.049,0.0747015597812781,0.9280204036171034,auditable_single_mode_coupling_screen,conditional_local_boundary,2.8462214966641645e-06,1.7084577035489075e-15,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,extreme-photon-starved
13.75,1550.0,7802880679691.2,3.884061971130066e+27,1.6271300397795282e-32,0.049,0.024163478793343796,0.9761261207931804,auditable_single_mode_coupling_screen,conditional_local_boundary,6.319873909591016e-07,4.0435695711803526e-16,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
18.0,532.0,2678150013932.7217,5.084590216752086e+27,1.1724721254480119e-30,0.049,0.7823290624366577,0.45733959743786096,auditable_single_mode_coupling_screen,conditional_local_boundary,5.9615402984674857e-05,2.491277432406738e-14,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,photon-starved
18.0,633.0,3186595787254.535,5.084590216752086e+27,5.849708373015027e-31,0.049,0.46442247739202347,0.6284979721856129,auditable_single_mode_coupling_screen,conditional_local_boundary,2.9743369964284966e-05,1.4322947000026224e-14,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,photon-starved
18.0,1064.0,5356300027865.443,5.084590216752086e+27,7.327950784050074e-32,0.049,0.09779113280458221,0.9068382927455618,auditable_single_mode_coupling_screen,conditional_local_boundary,3.7259626865421785e-06,2.236526448282206e-15,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,extreme-photon-starved
18.0,1550.0,7802880679691.2,5.084590216752086e+27,1.6271300397795282e-32,0.049,0.03163219042037733,0.9688628735977141,auditable_single_mode_coupling_screen,conditional_local_boundary,8.273289481646421e-07,5.293400165908826e-16,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
22.25,532.0,2678150013932.7217,6.285118462374107e+27,1.1724721254480119e-30,0.049,0.967045646623091,0.3802046393445588,auditable_single_mode_coupling_screen,conditional_local_boundary,7.36912620227231e-05,3.079495715058329e-14,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,photon-starved
22.25,633.0,3186595787254.535,6.285118462374107e+27,5.849708373015027e-31,0.049,0.574077784554029,0.5632240432870592,auditable_single_mode_coupling_screen,conditional_local_boundary,3.6766110094741144e-05,1.7704753930587973e-14,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,photon-starved
22.25,1064.0,5356300027865.443,6.285118462374107e+27,7.327950784050074e-32,0.049,0.12088070582788638,0.8861396645854193,auditable_single_mode_coupling_screen,conditional_local_boundary,4.6057038764201934e-06,2.764595193015505e-15,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,photon-starved
22.25,1550.0,7802880679691.2,6.285118462374107e+27,1.6271300397795282e-32,0.049,0.039100902047410874,0.9616536714264496,auditable_single_mode_coupling_screen,conditional_local_boundary,1.0226705053701828e-06,6.543230760637299e-16,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
26.5,532.0,2678150013932.7217,7.485646707996127e+27,1.1724721254480119e-30,0.049,1.1517622308095241,0.316079273670955,auditable_single_mode_coupling_screen,conditional_local_boundary,8.776712106077133e-05,3.6677139977099196e-14,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,low-return
26.5,633.0,3186595787254.535,7.485646707996127e+27,5.849708373015027e-31,0.049,0.6837330917160345,0.5047292703801103,auditable_single_mode_coupling_screen,conditional_local_boundary,4.3788850225197316e-05,2.108656086114972e-14,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,photon-starved
26.5,1064.0,5356300027865.443,7.485646707996127e+27,7.327950784050074e-32,0.049,0.14397027885119051,0.8659134836202608,auditable_single_mode_coupling_screen,conditional_local_boundary,5.485445066298208e-06,3.2926639377488034e-15,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,photon-starved
26.5,1550.0,7802880679691.2,7.485646707996127e+27,1.6271300397795282e-32,0.049,0.046569613674444406,0.9544981121363013,auditable_single_mode_coupling_screen,conditional_local_boundary,1.2180120625757232e-06,7.793061355365771e-16,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
30.75,532.0,2678150013932.7217,8.686174953618148e+27,1.1724721254480119e-30,0.049,1.3364788149959572,0.2627693008075554,auditable_single_mode_coupling_screen,conditional_local_boundary,0.00010184298009881956,4.255932280361511e-14,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,low-return
30.75,633.0,3186595787254.535,8.686174953618148e+27,5.849708373015027e-31,0.049,0.79338839887804,0.45230959049913777,auditable_single_mode_coupling_screen,conditional_local_boundary,5.081159035565349e-05,2.446836779171146e-14,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,photon-starved
30.75,1064.0,5356300027865.443,8.686174953618148e+27,7.327950784050074e-32,0.049,0.16705985187449465,0.8461489662198708,auditable_single_mode_coupling_screen,conditional_local_boundary,6.365186256176222e-06,3.820732682482102e-15,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,photon-starved
30.75,1550.0,7802880679691.2,8.686174953618148e+27,1.6271300397795282e-32,0.049,0.05403832530147795,0.9473957965764855,auditable_single_mode_coupling_screen,conditional_local_boundary,1.4133536197812637e-06,9.042891950094244e-16,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
35.0,532.0,2678150013932.7217,9.886703199240168e+27,1.1724721254480119e-30,0.049,1.5211953991823903,0.21845059514649354,auditable_single_mode_coupling_screen,conditional_local_boundary,0.00011591883913686779,4.8441505630131016e-14,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,low-return
35.0,633.0,3186595787254.535,9.886703199240168e+27,5.849708373015027e-31,0.049,0.9030437060400456,0.40533406256273996,auditable_single_mode_coupling_screen,conditional_local_boundary,5.7834330486109666e-05,2.7850174722273213e-14,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,photon-starved
35.0,1064.0,5356300027865.443,9.886703199240168e+27,7.327950784050074e-32,0.049,0.1901494248977988,0.8268355748909183,auditable_single_mode_coupling_screen,conditional_local_boundary,7.244927446054237e-06,4.3488014272154004e-15,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,photon-starved
35.0,1550.0,7802880679691.2,9.886703199240168e+27,1.6271300397795282e-32,0.049,0.061507036928511484,0.9403463285662562,auditable_single_mode_coupling_screen,conditional_local_boundary,1.6086951769868042e-06,1.0292722544822716e-15,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
