model,length_km,delay_s,fiber_loss_db_per_km,eta_i0_coupling,eta_i_transmission,idler_phase_coherence_time_s,Gamma_i_phase_drift_proxy,note
fiber_delay,0.0,0.0,0.2,0.95,0.95,1e-06,0.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.0,0.0,0.2,0.95,0.95,1e-05,0.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.0,0.0,0.2,0.95,0.95,0.0001,0.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.0,0.0,0.2,0.95,0.95,0.001,0.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.01,5e-08,0.2,0.95,0.9495626095529334,1e-06,0.1,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.01,5e-08,0.2,0.95,0.9495626095529334,1e-05,0.009999999999999998,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.01,5e-08,0.2,0.95,0.9495626095529334,0.0001,0.0009999999999999998,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.01,5e-08,0.2,0.95,0.9495626095529334,0.001,9.999999999999999e-05,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.1,5e-07,0.2,0.95,0.9456351464839506,1e-06,1.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.1,5e-07,0.2,0.95,0.9456351464839506,1e-05,0.09999999999999999,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.1,5e-07,0.2,0.95,0.9456351464839506,0.0001,0.009999999999999998,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.1,5e-07,0.2,0.95,0.9456351464839506,0.001,0.001,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,1.0,5e-06,0.2,0.95,0.9072429567203641,1e-06,10.000000000000002,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,1.0,5e-06,0.2,0.95,0.9072429567203641,1e-05,1.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,1.0,5e-06,0.2,0.95,0.9072429567203641,0.0001,0.1,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,1.0,5e-06,0.2,0.95,0.9072429567203641,0.001,0.01,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,5.0,2.5e-05,0.2,0.95,0.7546118229880674,1e-06,50.00000000000001,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,5.0,2.5e-05,0.2,0.95,0.7546118229880674,1e-05,5.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,5.0,2.5e-05,0.2,0.95,0.7546118229880674,0.0001,0.5,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,5.0,2.5e-05,0.2,0.95,0.7546118229880674,0.001,0.05,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,10.0,5e-05,0.2,0.95,0.5994094772561835,1e-06,100.00000000000001,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,10.0,5e-05,0.2,0.95,0.5994094772561835,1e-05,10.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,10.0,5e-05,0.2,0.95,0.5994094772561835,0.0001,1.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,10.0,5e-05,0.2,0.95,0.5994094772561835,0.001,0.1,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,25.0,0.000125,0.2,0.95,0.30041637771599605,1e-06,250.00000000000003,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,25.0,0.000125,0.2,0.95,0.30041637771599605,1e-05,25.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,25.0,0.000125,0.2,0.95,0.30041637771599605,0.0001,2.5,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,25.0,0.000125,0.2,0.95,0.30041637771599605,0.001,0.25,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,50.0,0.00025,0.2,0.95,0.095,1e-06,500.00000000000006,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,50.0,0.00025,0.2,0.95,0.095,1e-05,50.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,50.0,0.00025,0.2,0.95,0.095,0.0001,5.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,50.0,0.00025,0.2,0.95,0.095,0.001,0.5,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
memory_delay,,0.0,,0.95,0.95,1e-06,0.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.0,,0.95,0.95,1e-05,0.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.0,,0.95,0.95,0.0001,0.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.0,,0.95,0.95,0.001,0.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.0,,0.95,0.95,0.01,0.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-09,,0.95,0.9490504748417062,1e-06,0.002,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-09,,0.95,0.9499050047498416,1e-05,0.0002,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-09,,0.95,0.9499905000474997,0.0001,2e-05,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-09,,0.95,0.949999050000475,0.001,2e-06,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-09,,0.95,0.9499999050000048,0.01,2.0000000000000002e-07,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-08,,0.95,0.9405473420617096,1e-06,0.02,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-08,,0.95,0.9490504748417062,1e-05,0.002,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-08,,0.95,0.9499050047498416,0.0001,0.00019999999999999998,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-08,,0.95,0.9499905000474997,0.001,2e-05,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-08,,0.95,0.949999050000475,0.01,2e-06,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-07,,0.95,0.8595955471341615,1e-06,0.2,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-07,,0.95,0.9405473420617096,1e-05,0.019999999999999997,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-07,,0.95,0.9490504748417062,0.0001,0.0019999999999999996,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-07,,0.95,0.9499050047498416,0.001,0.00019999999999999998,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-07,,0.95,0.9499905000474997,0.01,1.9999999999999998e-05,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-06,,0.95,0.3494854691128702,1e-06,2.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-06,,0.95,0.8595955471341616,1e-05,0.19999999999999998,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-06,,0.95,0.9405473420617096,0.0001,0.019999999999999997,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-06,,0.95,0.9490504748417062,0.001,0.002,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-06,,0.95,0.9499050047498416,0.01,0.00019999999999999998,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-05,,0.95,4.312993327436053e-05,1e-06,20.000000000000004,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-05,,0.95,0.3494854691128702,1e-05,2.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-05,,0.95,0.8595955471341615,0.0001,0.2,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-05,,0.95,0.9405473420617096,0.001,0.02,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,1e-05,,0.95,0.9490504748417062,0.01,0.002,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.0001,,0.95,3.5340721772197436e-44,1e-06,200.00000000000003,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.0001,,0.95,4.312993327436061e-05,1e-05,20.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.0001,,0.95,0.3494854691128702,0.0001,2.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.0001,,0.95,0.8595955471341615,0.001,0.2,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.0001,,0.95,0.9405473420617096,0.01,0.02,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.001,,0.95,0.0,1e-06,2000.0000000000002,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.001,,0.95,3.5340721772197943e-44,1e-05,200.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.001,,0.95,4.312993327436061e-05,0.0001,20.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.001,,0.95,0.3494854691128702,0.001,2.0,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
memory_delay,,0.001,,0.95,0.8595955471341615,0.01,0.2,eta_i(t)=eta_i0*exp(-t/tau_life); static eta_i scans define requirements rather than field-ready assumptions.
